# TIA-102.BABA-A annex_r_hoc_b6.csv — Half-Rate HOC VQ Quantization Table for b6
# Source: TIA-102.BABA-A PDF, page 141 (Annex R)
# Extracted from pdftotext -layout output with verification: count=16 (PASS)
b6,H2_1,H2_2,H2_3,H2_4
0,-0.143886,0.235528,-0.116707,0.025541
1,-0.170182,-0.063822,-0.096934,0.109704
2,0.232915,0.269793,0.047064,-0.032761
3,0.153458,0.068130,-0.033513,0.126553
4,-0.440712,0.132952,0.081378,-0.013210
5,-0.480433,-0.249687,-0.012280,0.007112
6,-0.088001,0.167609,0.148323,-0.119892
7,-0.104628,0.102639,0.183560,0.121674
8,0.047408,-0.000908,-0.214196,-0.109372
9,0.113418,-0.240340,-0.121420,0.041117
10,0.385609,0.042913,-0.184584,-0.017851
11,0.453830,-0.180745,0.050455,0.030984
12,-0.155984,-0.144212,0.018226,-0.146356
13,-0.104028,-0.260377,0.146472,0.101389
14,0.012376,-0.000267,0.006657,-0.013941
15,0.165852,-0.103467,0.119713,-0.075455
